[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
[2019-05-10 18:08:26][Notice][file:/var/www/html/easySwoole/App/Utility/Pool/MysqlPool.php][line:17]Undefined variable: conf
